0 External ID (must be unique),1 Title,2 Description,,3 Language (BCP47),,4 URL,Youtube,5 Cover Image,6 License,7 Publisher,8 Source,additionalInformation,test,staging,prod
9448bcfc-5ee7-11ea-bc55-0242ac130003,សម្លកកូររបស់ប៉ាបូបូ,,1,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945069237769947/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945069237769947,https://youtu.be/_2evAcn6KEE,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.17.08.jpg,CC-BY-SA-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448bf54-5ee7-11ea-bc55-0242ac130003,ទៅលេងបុណ្យអុំទូក,,2,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945138795348767/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945138795348767,https://youtu.be/OO3PjoZNqe4,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.17.24.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448c04e-5ee7-11ea-bc55-0242ac130003,ទៅផ្សារ,,3,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945139448489267/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945139448489267,https://youtu.be/ldjG5kbCaaQ,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.16.54.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448c2c4-5ee7-11ea-bc55-0242ac130003,ថ្ងៃអាទិត្យ,,4,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945236097076887/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945236097076887,https://youtu.be/oszW545wZHc,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.18.24.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448c3a0-5ee7-11ea-bc55-0242ac130003,ថ្ងៃមិនល្អរបស់លោកគ្រូសាន,,5,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945237220955537/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945237220955537,https://youtu.be/FIQsGnqvQD8,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.19.57.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448c7a6-5ee7-11ea-bc55-0242ac130003,ណារី និង​ បូណានៅសាលារៀន,,6,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945238085821157/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945238085821157,https://youtu.be/f9ppT-i5rAg,https://freelearning.io/wp-content/uploads/2020/03/Skjermbilde-2020-03-02-kl.-09.22.13.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448cb84-5ee7-11ea-bc55-0242ac130003,ដុសធ្មេញ,,7,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945238853760037/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945238853760037,https://youtu.be/n8kKkzQUbpA,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.30.09.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448cc74-5ee7-11ea-bc55-0242ac130003,ជួយធ្វើម្ហូប,,8,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945239330964967/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945239330964967,https://youtu.be/nNoubFFEMUA,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.31.36.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448cd46-5ee7-11ea-bc55-0242ac130003,ងូតទឹកភ្លៀង,,9,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945240079315997/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945240079315997,https://youtu.be/fmIpgWc7Hz8,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.32.08.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
9448d016-5ee7-11ea-bc55-0242ac130003,ខ្ញុំចង់ក្លាយជា,,10,sgn-kh,"<iframe src=""https://gdl.h5p.com/content/1290945241536443007/embed"" width=""1088"" height=""637"" frameborder=""0"" allowfullscreen=""allowfullscreen"" allow=""geolocation *; microphone *; camera *; midi *; encrypted-media *""></iframe><script src=""https://gdl.h5p.com/js/h5p-resizer.js"" charset=""UTF-8""></script>",https://gdl.h5p.com/content/1290945241536443007,https://youtu.be/ST2z-e3YjJA,https://freelearning.io/wp-content/uploads/2020/02/Skjermbilde-2020-02-29-kl.-12.32.57.jpg,CC-BY-4.0,All Children Reading - Cambodia,Asia Foundation ,"This book is from Komar Rien Komar Cheh, the national early grade learning program of the Ministry of Education Youth and Sport in Cambodia.",,,
